Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
15.03.2026;Commerzbank IHS 0,5 % 04.12.26;CZ45VC;4,558%;0,020%;0,438%;04.12.2026;0,5000%;Financials;Deutschland;Renten;ESG Muster defensiv
15.03.2026;Deutsche Post IHS 3,0 % 25.11.31;A460PH;3,981%;-0,049%;-1,215%;25.11.2031;3,0000%;Corporates;Deutschland;Renten;ESG Muster defensiv
15.03.2026;Deutschland Green Bond 0 % 15.08.31;103073;4,226%;-0,013%;-0,311%;15.08.2031;0%;Staat/ Governments;Deutschland;Renten;ESG Muster defensiv
15.03.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;3,594%;-0,021%;-0,578%;24.05.2030;1,8750%;Corporates;Deutschland;Renten;ESG Muster defensiv
15.03.2026;Dt. Pfandbriefbk. Green Bond IHS 5 % 05.02.27;A30WF8;2,224%;-0,008%;-0,350%;05.02.2027;5,0000%;Financials;Deutschland;Renten;ESG Muster defensiv
15.03.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;4,597%;-0,043%;-0,933%;12.01.2035;3,8750%;Corporates;Deutschland;Renten;ESG Muster defensiv
15.03.2026;EnBW Green Bond IHS 4,3 % 23.05.34;A3LREF;4,493%;-0,004%;-0,102%;23.05.2034;4,3000%;Corporates;Deutschland;Renten;ESG Muster defensiv
15.03.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;3,538%;-0,010%;-0,285%;31.03.2028;1,8750%;Corporates;Deutschland;Renten;ESG Muster defensiv
15.03.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;4,694%;0,144%;3,133%;-;0%;Index;Global;Aktien;ESG Muster defensiv
15.03.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;1,746%;-0,016%;-0,923%;01.11.2028;2,0000%;Financials;Nordamerika;Renten;ESG Muster defensiv
15.03.2026;Heidelberg Materials Green Bond IHS 3,95 % 19.07.34;A383EX;3,611%;-0,020%;-0,571%;19.07.2034;3,9500%;Corporates;Deutschland;Renten;ESG Muster defensiv
15.03.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;4,293%;-0,016%;-0,377%;03.09.2031;1,2500%;Corporates;Deutschland;Renten;ESG Muster defensiv
15.03.2026;iBonds Dec 2031 EUR Corp. ETF (iShares);A40MD5;3,366%;-0,011%;-0,331%;-;0%;Index;Europa;Renten;ESG Muster defensiv
15.03.2026;Mercedes-Benz Green Bond IHS 3,7 % 30.05.31;A3LH6U;3,929%;-0,074%;-1,857%;30.05.2031;3,7000%;Corporates;Deutschland;Renten;ESG Muster defensiv
15.03.2026;Nikkei 225 ETF Acc. (iShares);A0YEDQ;2,505%;0,211%;9,209%;-;0%;Index;Japan;Aktien;ESG Muster defensiv
15.03.2026;NordLB Green Bond IHS 4,875 % 11.07.28;NLB4RS;4,358%;-0,002%;-0,050%;11.07.2028;4,8750%;Financials;Deutschland;Renten;ESG Muster defensiv
15.03.2026;Physical Gold ETC (Invesco);A1AA5X;12,028%;1,829%;17,827%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;ESG Muster defensiv
15.03.2026;RWE Green Bond IHS 0,5 % 26.11.28;A3MP70;2,836%;0,003%;0,085%;26.11.2028;0,5000%;Corporates;Deutschland;Renten;ESG Muster defensiv
15.03.2026;Siemens IHS 1,75 % 28.02.39;A2RYDQ;3,923%;-0,087%;-2,182%;28.02.2039;1,7500%;Corporates;Deutschland;Renten;ESG Muster defensiv
15.03.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;3,724%;0,083%;2,224%;-;0%;Index;Europa;Aktien;ESG Muster defensiv
15.03.2026;StoxxEuro.600 Paris Align.Clim. ETF (Frankl.);A2P5CM;4,351%;-0,008%;-0,229%;-;0%;Nachhaltigkeit;Europa;Aktien;ESG Muster defensiv
15.03.2026;US Growth Equity Active ETF (JPM);A3EW6K;6,791%;-0,372%;-5,207%;-;0%;Index;Nordamerika;Aktien;ESG Muster defensiv
;;;;;;;;;;;
