Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
15.03.2026;Bayer IHS 4 % 26.08.26;A351UZ;3,305%;0,015%;0,460%;26.08.2026;4,0000%;Corporates;Deutschland;Renten;Muster defensiv cVV
15.03.2026;BMW IHS 3,125 % 22.07.29;A4D5RW;3,745%;-0,012%;-0,321%;22.07.2029;3,1250%;Corporates;Deutschland;Renten;Muster defensiv cVV
15.03.2026;Deutsche Post IHS 3,0 % 25.11.31;A460PH;4,860%;-0,001%;-0,028%;25.11.2031;3,0000%;Corporates;Deutschland;Renten;Muster defensiv cVV
15.03.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;3,299%;-0,019%;-0,578%;24.05.2030;1,8750%;Corporates;Deutschland;Renten;Muster defensiv cVV
15.03.2026;Dt. Telekom IHS 1,375 % 05.07.34;A2YNSK;3,331%;-0,022%;-0,656%;05.07.2034;1,3750%;Corporates;Deutschland;Renten;Muster defensiv cVV
15.03.2026;E.ON IHS 3,448% 19.01.34;A460EP;4,082%;-0,041%;-0,997%;19.01.2034;3,4480%;Corporates;Deutschland;Renten;Muster defensiv cVV
15.03.2026;EnBW Green Bond IHS 3,5 % 22.07.31;A3L1LT;3,614%;-0,010%;-0,271%;22.07.2031;3,5000%;Corporates;Europa ohne Deutschland;Renten;Muster defensiv cVV
15.03.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;4,157%;-0,012%;-0,285%;31.03.2028;1,8750%;Corporates;Deutschland;Renten;Muster defensiv cVV
15.03.2026;Fresenius IHS 0,875 % 01.10.31;A3KN0R;3,421%;-0,016%;-0,473%;01.10.2031;0,8750%;Corporates;Deutschland;Renten;Muster defensiv cVV
15.03.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;2,926%;0,350%;13,410%;-;0%;Index;Global;Aktien;Muster defensiv cVV
15.03.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;3,430%;-0,032%;-0,923%;01.11.2028;2,0000%;Financials;Nordamerika;Renten;Muster defensiv cVV
15.03.2026;Grenke Finance IHS 5,75 % 06.07.29 ;A3LY39;3,020%;-0,024%;-0,791%;06.07.2029;5,7500%;Financials;Deutschland;Renten;Muster defensiv cVV
15.03.2026;Heidelberg Materials IHS 3,75 % 31.05.32 ;A30V5U;3,702%;-0,027%;-0,735%;31.05.2032;3,7500%;Corporates;Deutschland;Renten;Muster defensiv cVV
15.03.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;3,592%;-0,013%;-0,377%;03.09.2031;1,2500%;Corporates;Deutschland;Renten;Muster defensiv cVV
15.03.2026;Japan Equity Partners Portfolio GS;A14T2K;2,390%;0,078%;3,339%;-;0%;Region;Japan;Aktien;Muster defensiv cVV
15.03.2026;MSCI Europe Industrials Sector ETF (iShares);A2QBZ6;3,686%;0,165%;4,602%;-;0%;Index;Europa;Aktien;Muster defensiv cVV
15.03.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;2,392%;-0,025%;-1,088%;-;0%;Chemie,Pharma;Global;Aktien;Muster defensiv cVV
15.03.2026;MSCI World IT ETF (Xtrackers);A113FM;2,681%;-0,066%;-2,448%;-;0%;Informationstechnologie;Global;Aktien;Muster defensiv cVV
15.03.2026;Porsche IHS 4,25 % 27.09.30;A351SX;4,200%;0,029%;0,700%;27.09.2030;4,2500%;Corporates;Deutschland;Renten;Muster defensiv cVV
15.03.2026;RCI Banque IHS 1,125 % 15.01.27;A28R15;4,019%;0,016%;0,390%;15.01.2027;1,1250%;Financials;Europa ohne Deutschland;Renten;Muster defensiv cVV
15.03.2026;Semiconductor ETF (VanEck);A2QC5J;4,256%;0,471%;12,235%;-;0%;Nachhaltigkeit;Global;Aktien;Muster defensiv cVV
15.03.2026;Stoxx Europe 600 Insurance ETF (iShares);A0H08K;2,097%;-0,131%;-5,829%;-;0%;Index;Europa;Aktien;Muster defensiv cVV
15.03.2026;StoxxEuro.600 Construc. & Materials ETF (iSh);A0H08F;2,786%;-0,153%;-5,216%;-;0%;Index;Europa;Aktien;Muster defensiv cVV
15.03.2026;VW IHS 1,625 % 16.01.30;A1ZUTM;3,456%;-0,023%;-0,661%;16.01.2030;1,6250%;Corporates;Deutschland;Renten;Muster defensiv cVV
15.03.2026;Würth Finance IHS 3 % 28.08.31;A3L4ZS;3,688%;-0,017%;-0,455%;28.08.2031;3,0000%;Corporates;Deutschland;Renten;Muster defensiv cVV
15.03.2026;XETRA Gold;A0S9GB;11,943%;1,824%;17,828%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;Muster defensiv cVV
;;;;;;;;;;;
