Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Währung
Muster FFPB Pro;31.08.2023;0;0;0;0;0;EUR
Muster FFPB Pro;01.09.2023;0,0028737082;2.873,36;0,0028737082;2.873,36;0,001052109;EUR
Muster FFPB Pro;02.09.2023;0,0000956272;95,89;0,0029696101;2.969,25;0;EUR
Muster FFPB Pro;03.09.2023;0,0000956180;95,89;0,0030655121;3.065,14;0;EUR
Muster FFPB Pro;04.09.2023;-0,0020579050;-2.063,96;0,0010012986;1.001,18;0,000823510;EUR
Muster FFPB Pro;05.09.2023;0,0004051939;405,55;0,0014068982;1.406,73;-0,000449837;EUR
Muster FFPB Pro;06.09.2023;-0,0055626418;-5.569,80;-0,0041635696;-4.163,07;-0,006548134;EUR
Muster FFPB Pro;07.09.2023;0,0031342363;3.120,81;-0,0010423829;-1.042,26;-0,003277556;EUR
Muster FFPB Pro;08.09.2023;0,0031256173;3.121,98;0,0020799763;2.079,73;0,001760483;EUR
Muster FFPB Pro;09.09.2023;0,0000029777;2,98;0,0020829602;2.082,71;0;EUR
Muster FFPB Pro;10.09.2023;0,0000029777;2,98;0,0020859441;2.085,69;0;EUR
Muster FFPB Pro;11.09.2023;0,0039839958;3.991,82;0,0060782503;6.077,52;0,004082463;EUR
Muster FFPB Pro;12.09.2023;-0,0009337749;-939,34;0,0051387996;5.138,18;-0,002179353;EUR
Muster FFPB Pro;13.09.2023;0,0007330460;736,72;0,0058756124;5.874,90;-0,003204542;EUR
Muster FFPB Pro;14.09.2023;0,0138165852;13.896,04;0,0197733412;19.770,94;0,014606355;EUR
Muster FFPB Pro;15.09.2023;-0,0059403484;-6.057,06;0,0137155526;13.713,89;-0,001884706;EUR
Muster FFPB Pro;16.09.2023;0,0000028335;2,87;0,0137184250;13.716,76;0;EUR
Muster FFPB Pro;17.09.2023;0,0000028335;2,87;0,0137212973;13.719,63;0;EUR
Muster FFPB Pro;18.09.2023;-0,0034500396;-3.496,94;0,0102239298;10.222,68;-0,006950457;EUR
Muster FFPB Pro;19.09.2023;0,0000462227;46,69;0,0102706269;10.269,37;-0,001888217;EUR
Muster FFPB Pro;20.09.2023;-0,0012185285;-1.230,89;0,0090395874;9.038,48;0,000098817;EUR
Muster FFPB Pro;21.09.2023;-0,0140691928;-14.194,61;-0,0051567574;-5.156,13;-0,013221721;EUR
Muster FFPB Pro;22.09.2023;-0,0016772483;-1.668,39;-0,0068253541;-6.824,52;-0,001619858;EUR
Muster FFPB Pro;23.09.2023;0,0000030987;3,08;-0,0068222766;-6.821,44;0;EUR
Muster FFPB Pro;24.09.2023;0,0000030987;3,08;-0,0068191990;-6.818,36;0;EUR
Muster FFPB Pro;25.09.2023;-0,0015819795;-1.571,00;-0,0083903888;-8.389,36;-0,000927856;EUR
Muster FFPB Pro;26.09.2023;-0,0057034996;-5.654,94;-0,0140460256;-14.044,30;-0,010932336;EUR
Muster FFPB Pro;27.09.2023;-0,0011976708;-1.180,70;-0,0152268733;-15.225,01;0,003053384;EUR
Muster FFPB Pro;28.09.2023;0,0027529802;2.710,72;-0,0125158174;-12.514,28;0,004184244;EUR
Muster FFPB Pro;29.09.2023;-0,0034868980;-3.442,83;-0,0159590701;-15.957,11;-0,000023201;EUR
Muster FFPB Pro;30.09.2023;0,0000031275;3,08;-0,0159559926;-15.954,03;0;EUR
Muster FFPB Pro;01.10.2023;0,0000031275;3,08;-0,0159529150;-15.950,96;0;EUR
Muster FFPB Pro;02.10.2023;0,0013855541;1.363,28;-0,0145894674;-14.587,68;-0,002678192;EUR
Muster FFPB Pro;03.10.2023;-0,0097922823;-9.648,22;-0,0242388742;-24.235,90;-0,010935772;EUR
Muster FFPB Pro;04.10.2023;0,0017869738;1.743,44;-0,0224952180;-22.492,45;0,001714996;EUR
Muster FFPB Pro;05.10.2023;0,0010933391;1.068,61;-0,0214264761;-21.423,84;-0,000744120;EUR
Muster FFPB Pro;06.10.2023;0,0100330813;9.816,89;-0,0116083802;-11.606,95;0,010224742;EUR
Muster FFPB Pro;07.10.2023;0,0000031137;3,08;-0,0116053027;-11.603,87;0;EUR
Muster FFPB Pro;08.10.2023;0,0000031137;3,08;-0,0116022251;-11.600,80;0;EUR
Muster FFPB Pro;09.10.2023;0,0012705513;1.255,65;-0,0103464168;-10.345,14;-0,001797965;EUR
Muster FFPB Pro;10.10.2023;0,0076383841;7.558,42;-0,0027870708;-2.786,73;0,013899648;EUR
Muster FFPB Pro;11.10.2023;0,0068868182;6.866,77;0,0040805466;4.080,04;0,000270530;EUR
Muster FFPB Pro;12.10.2023;0,0045004120;4.518,22;0,0085993186;8.598,26;0,000280617;EUR
Muster FFPB Pro;13.10.2023;-0,0043756713;-4.412,75;0,0041860238;4.185,51;-0,008736176;EUR
Muster FFPB Pro;14.10.2023;0,0000030647;3,08;0,0041891014;4.188,59;0;EUR
